2025-04-27 13:22:11, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -23 dBm
2025-04-27 13:22:11, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -25 dBm
2025-04-27 13:22:12, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:12, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -23 dBm
2025-04-27 13:22:13, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:13, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:14, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -23 dBm
2025-04-27 13:22:14, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:15, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -23 dBm
2025-04-27 13:22:15, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -23 dBm
2025-04-27 13:22:16, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -25 dBm
2025-04-27 13:22:16, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:17, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -23 dBm
2025-04-27 13:22:17, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:18, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -23 dBm
2025-04-27 13:22:18, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:19, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:19, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -23 dBm
2025-04-27 13:22:20, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -23 dBm
2025-04-27 13:22:20, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:21, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:21, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:22, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:22, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:23, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:23, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:24, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:24, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -23 dBm
2025-04-27 13:22:25, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:25, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -23 dBm
2025-04-27 13:22:26, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:26, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -76 dBm
2025-04-27 13:22:27, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:27, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -23 dBm
2025-04-27 13:22:28, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -24 dBm
2025-04-27 13:22:28, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
2025-04-27 13:22:29, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -76 dBm
2025-04-27 13:22:29, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -23 dBm
2025-04-27 13:22:30, e4:fa:c4:6f:6f:6a -> e4:fa:c4:6f:6f:bf, -24 dBm
