2025-04-26 17:14:11, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -65 dBm
2025-04-26 17:14:11, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -63 dBm
2025-04-26 17:14:11, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -61 dBm
2025-04-26 17:14:12, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -61 dBm
2025-04-26 17:14:12, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -65 dBm
2025-04-26 17:14:12, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -61 dBm
2025-04-26 17:14:13, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -65 dBm
2025-04-26 17:14:13, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -65 dBm
2025-04-26 17:14:13, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -62 dBm
2025-04-26 17:14:14, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -69 dBm
2025-04-26 17:14:14, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -65 dBm
2025-04-26 17:14:14, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -60 dBm
2025-04-26 17:14:15, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -61 dBm
2025-04-26 17:14:15, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -59 dBm
2025-04-26 17:14:15, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -68 dBm
2025-04-26 17:14:16, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -65 dBm
2025-04-26 17:14:16, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -60 dBm
2025-04-26 17:14:16, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -63 dBm
2025-04-26 17:14:16, 24:52:6a:bc:6d:7e -> ff:ff:ff:ff:ff:ff, -81 dBm
2025-04-26 17:14:17, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -60 dBm
2025-04-26 17:14:17, 38:6b:1c:26:48:96 -> ff:ff:ff:ff:ff:ff, -83 dBm
2025-04-26 17:14:17, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -64 dBm
2025-04-26 17:14:17, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -66 dBm
2025-04-26 17:14:18, 7e:ac:51:27:b6:95 -> ff:ff:ff:ff:ff:ff, -34 dBm
2025-04-26 17:14:18, 78:dd:12:27:73:68 -> 7e:ac:51:27:b6:95, -60 dBm
2025-04-26 17:14:18, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -64 dBm
2025-04-26 17:14:18, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -58 dBm
2025-04-26 17:14:18, 38:6b:1c:26:48:96 -> ff:ff:ff:ff:ff:ff, -87 dBm
2025-04-26 17:14:19, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -59 dBm
2025-04-26 17:14:19, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -59 dBm
2025-04-26 17:14:19, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -66 dBm
2025-04-26 17:14:19, 44:48:b9:29:99:a8 -> ff:ff:ff:ff:ff:ff, -81 dBm
2025-04-26 17:14:20, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -57 dBm
2025-04-26 17:14:20, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -62 dBm
2025-04-26 17:14:20, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -56 dBm
2025-04-26 17:14:21, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -56 dBm
2025-04-26 17:14:21, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -61 dBm
2025-04-26 17:14:21, 4c:22:f3:58:8e:12 -> 68:76:27:00:e1:fe, -57 dBm
2025-04-26 17:14:22, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -57 dBm
2025-04-26 17:14:22, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -62 dBm
2025-04-26 17:14:22, 24:52:6a:bc:6d:d1 -> ff:ff:ff:ff:ff:ff, -83 dBm
