2025-04-26 17:14:11, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -12 dBm
2025-04-26 17:14:12, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -10 dBm
2025-04-26 17:14:13, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -9 dBm
2025-04-26 17:14:14, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -11 dBm
2025-04-26 17:14:15, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -11 dBm
2025-04-26 17:14:16, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -9 dBm
2025-04-26 17:14:17, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -11 dBm
2025-04-26 17:14:18, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -13 dBm
2025-04-26 17:14:19, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -13 dBm
2025-04-26 17:14:20, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -14 dBm
2025-04-26 17:14:21, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -13 dBm
2025-04-26 17:14:22, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -15 dBm
2025-04-26 17:14:23, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -13 dBm
2025-04-26 17:14:24, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -15 dBm
2025-04-26 17:14:25, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -14 dBm
2025-04-26 17:14:26, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -13 dBm
2025-04-26 17:14:27, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -14 dBm
2025-04-26 17:14:28, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -13 dBm
2025-04-26 17:14:29, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -15 dBm
2025-04-26 17:14:30, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -14 dBm
2025-04-26 17:14:31, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -15 dBm
2025-04-26 17:14:32, e4:fa:c4:6f:6f:bf -> e4:fa:c4:6f:6f:6a, -15 dBm
